symbol,ts_signal,ts_entry,entry_price,entry_atr,ret_1,ret_3,ret_6,ret_12,ret_18,ret_24,atr_12,atr_pct_12,vwap_session,vwap_dist,vwap_dist_atr,vol_ratio_18,range_pct,body_pct,upper_wick_pct,lower_wick_pct,rv_12,tod_sin,tod_cos,best_param_id,best_R,best_exit_reason,best_exit_price,best_exit_ts,best_stop_atr,best_target_atr,best_hold_bars,fixed_R,fixed_exit_price,fixed_exit_reason,side,split
COIN,2024-02-29 14:30:00,2024-02-29 14:35:00,209.72,2.2858083333333354,0.042667547948451616,0.04551122269268579,0.040975163273731144,0.024060293928430416,0.03043755370696001,0.019279563812219732,2.161641666666668,0.010319083762968627,208.78003333333334,0.003341448666539308,0.32381253445490293,5.231263110957974,0.027496181019667828,0.01441665075424853,0.008735917510024883,0.004343612755394414,0.013303916174655678,0.0,1.0,S1.0_T0.75_H3,-1.0,STOP,207.43419166666666,2024-02-29 09:35:00-05:00,1.0,0.75,3,-1.0000000000000042,208.00564375,STOP,LONG,train
NVDA,2024-02-29 14:30:00,2024-02-29 14:35:00,795.0,3.442041666666654,0.02295821174227954,0.021401731131673492,0.016593258972114448,0.015072318331570895,0.01704337624946495,0.013591819607950147,3.2453749999999957,0.004083105821370602,794.0666666666666,0.000960373077681309,0.2352065118309705,5.4151153965178995,0.008039454977793976,0.004894128304165653,0.0025791678723751676,0.0005661588012531553,0.006993006781612553,0.0,1.0,S0.5_T1.0_H3,2.0000000000000164,TARGET,798.4420416666667,2024-02-29 09:35:00-05:00,0.5,1.0,3,1.3333333333333444,798.4420416666667,TARGET,LONG,train
PLTR,2024-02-29 14:30:00,2024-02-29 14:35:00,25.1701,0.1318999999999999,0.02960647084939172,0.030425136470227637,0.028788474893759936,0.026742327653727714,0.03135103590831975,0.029037892749691385,0.11708333333333343,0.004650888733528244,25.0548,0.004750858014490847,1.0214946619216936,6.110596590159922,0.01549192830812256,0.014475022244820128,0.0006196771323250097,0.00039722893097742196,0.008762955488881619,0.0,1.0,S1.0_T0.75_H3,0.7500000000000101,TARGET,25.269025000000003,2024-02-29 09:35:00-05:00,1.0,0.75,3,-1.0000000000000135,25.071175,STOP,LONG,train
TSLA,2024-02-29 14:35:00,2024-02-29 14:40:00,204.19,0.814783333333331,0.0022311313240760905,0.01182512793981559,0.010042914488430315,0.01217213500737006,0.009448394736029394,0.006483551237531232,0.7206166666666647,0.0035296662748171273,204.02984345495273,0.0006375222621829487,0.18061828301769942,2.298018778031063,0.006563479623824468,0.0022041536050156183,0.001077586206896546,0.0032817398119123035,0.0024070718157819145,0.08046656871672588,0.99675730813421,S0.75_T1.0_H3,1.333333333333345,TARGET,205.00478333333334,2024-02-29 09:40:00-05:00,0.75,1.0,3,1.333333333333345,205.00478333333334,TARGET,LONG,train
NVDA,2024-02-29 14:50:00,2024-02-29 14:55:00,795.618,4.820608333333325,0.00591430421496865,-0.002542845148533801,0.02542626611282033,0.0176823855879034,0.018393029549418884,0.015375220922998638,4.708941666666665,0.005920664956706145,794.3971745882245,0.0011854369348649834,0.2002202359926274,1.8958032521325752,0.008373777252495747,0.005896849146277132,0.0017476802373827373,0.0007292478688358781,0.007425968000283353,0.3166679938014725,0.9485364419471455,S1.0_T0.75_H3,-0.17593215240816004,TIME,794.7699,2024-02-29 10:05:00-05:00,1.0,0.75,3,-0.9999999999999921,792.0025437500001,STOP,LONG,train
COIN,2024-02-29 20:15:00,2024-02-29 20:20:00,201.42,1.0851833333333332,0.0038786721922730795,0.009173918854444558,0.008773297886594412,0.014145938322164478,0.02238375095579845,0.011341053775595326,1.0659416666666672,0.005290295630883256,200.92980227895083,0.002780275552380655,0.5255425681979263,1.819754472181217,0.006451933098416851,0.0033748573130180496,0.0025311429847634666,0.0005459328006353349,0.0033755908945576098,-0.6631226582407955,0.7485107481711007,S0.5_T2.0_H6,4.0,TARGET,203.59036666666665,2024-02-29 15:45:00-05:00,0.5,2.0,6,1.3333333333333333,202.50518333333332,TARGET,LONG,train
PLTR,2024-02-29 20:20:00,2024-02-29 20:25:00,24.89,0.055299999999999905,0.004470316137387793,0.0036633764123420775,0.008514811033894041,0.009731356196098261,0.008920161667737807,0.007975949153840341,0.05446666666666644,0.002188646896514765,24.821027042749336,0.0026108236458516295,1.192893951970574,2.2211225723438335,0.004621072088724664,0.004259422968737366,0.00016073294221656095,0.0002009161777707369,0.0017215929182565765,-0.6007422642379789,0.7994427634035012,S0.75_T2.0_H6,2.666666666666624,TARGET,25.0006,2024-02-29 15:50:00-05:00,0.75,2.0,6,1.333333333333312,24.9453,TARGET,LONG,train
TSLA,2024-02-29 20:50:00,2024-02-29 20:55:00,201.9,0.4397166666666668,0.004149054053197516,0.00446142566255124,0.004306719883036733,0.008156096770985156,0.00910526679312389,0.006927510787600865,0.4138833333333333,0.002049840688095356,201.3211560119624,0.0029163686198683063,1.4227294037070264,2.936464259239569,0.004754593630825514,0.004110742409984568,0.0006438512208409462,0.0,0.0014033727869878197,-0.16041128085776063,0.9870502626379128,S0.5_T0.75_H3,-0.9999999999999408,STOP,201.68014166666669,2024-02-29 15:55:00-05:00,0.5,0.75,3,-1.0000000000000269,201.5702125,STOP,LONG,train
NVDA,2024-03-01 14:30:00,2024-03-01 14:35:00,802.579,3.978866666666685,0.012793672393595504,0.003908523172809277,0.01135148025414762,0.01086415587645142,0.011823908728697357,0.012195502472791874,3.3522250000000136,0.0041778521398838624,802.0,0.000473591066576928,0.11335754610743429,4.140655699056795,0.009247488721054811,0.0029661756275081576,0.0039133577606620135,0.0023679553328846397,0.004738483122521124,0.0,1.0,S0.5_T0.75_H3,-0.9999999999999762,STOP,800.5895666666667,2024-03-01 09:35:00-05:00,0.5,0.75,3,-0.9999999999999952,799.59485,STOP,LONG,train
TSLA,2024-03-01 14:45:00,2024-03-01 14:50:00,199.95,0.8423583333333298,0.0034318241118928695,5.001500451181251e-05,-0.005630670780482281,-0.005759968050003452,-0.0026182902577811602,-0.002484594949189754,0.7789916666666628,0.0038960297415122297,199.63207177519266,0.0015650715187043268,0.40170933553932525,1.9469971815024156,0.005614043862062079,0.0034259421340868852,0.000287579084248191,0.0019005226437270022,0.0035442403387383466,0.23931566428755777,0.970941817426052,S1.0_T1.0_H3,0.9999999999999916,TARGET,200.7923583333333,2024-03-01 09:55:00-05:00,1.0,1.0,3,-0.9999999999999916,199.31823125,STOP,LONG,train
