symbol,timestamp,open,high,low,close,volume,trade_count,vwap
COIN,2026-03-02 09:00:00+00:00,170.6,171.7,170.6,171.12,3875.0,244.0,171.045949
COIN,2026-03-02 09:05:00+00:00,171.08,172.42,171.04,172.42,6062.0,124.0,171.55406
COIN,2026-03-02 09:10:00+00:00,172.5,173.16,172.5,172.89,930.0,56.0,172.78052
COIN,2026-03-02 09:15:00+00:00,172.83,172.89,172.49,172.89,2237.0,79.0,172.725045
COIN,2026-03-02 09:20:00+00:00,172.48,173.08,172.2,173.08,4232.0,102.0,172.789183
COIN,2026-03-02 09:25:00+00:00,172.81,172.9,171.99,172.19,4977.0,203.0,172.489524
COIN,2026-03-02 09:30:00+00:00,172.69,172.76,172.69,172.76,383.0,11.0,172.709296
COIN,2026-03-02 09:35:00+00:00,172.35,172.37,172.22,172.37,953.0,29.0,172.335826
COIN,2026-03-02 09:40:00+00:00,171.99,172.0,171.99,171.99,1022.0,35.0,171.996751
COIN,2026-03-02 09:45:00+00:00,172.15,172.15,171.75,171.75,572.0,27.0,171.833588
COIN,2026-03-02 09:50:00+00:00,171.67,171.67,171.08,171.45,5138.0,144.0,171.408104
COIN,2026-03-02 09:55:00+00:00,171.64,171.67,171.55,171.6,1418.0,28.0,171.602591
COIN,2026-03-02 10:00:00+00:00,171.74,172.55,171.7,172.47,4164.0,145.0,172.123055
COIN,2026-03-02 10:05:00+00:00,172.43,172.43,172.43,172.43,122.0,31.0,172.43
COIN,2026-03-02 10:10:00+00:00,172.2,172.39,171.9,172.19,1561.0,52.0,172.118616
COIN,2026-03-02 10:15:00+00:00,171.85,171.85,171.85,171.85,293.0,10.0,171.85
COIN,2026-03-02 10:20:00+00:00,172.18,172.25,172.0,172.0,508.0,18.0,172.164555
COIN,2026-03-02 10:30:00+00:00,172.23,172.29,172.05,172.05,531.0,21.0,172.223159
COIN,2026-03-02 10:35:00+00:00,172.29,172.39,172.29,172.39,288.0,15.0,172.35
COIN,2026-03-02 10:40:00+00:00,172.12,172.15,172.08,172.15,190.0,11.0,172.115873
COIN,2026-03-02 10:45:00+00:00,172.37,172.38,172.37,172.38,229.0,9.0,172.376825
COIN,2026-03-02 10:50:00+00:00,172.07,172.07,171.78,171.99,591.0,48.0,171.940781
COIN,2026-03-02 10:55:00+00:00,171.65,171.91,171.64,171.9,431.0,23.0,171.798809
COIN,2026-03-02 11:00:00+00:00,172.04,172.04,171.74,171.74,341.0,9.0,171.989495
COIN,2026-03-02 11:05:00+00:00,171.5,171.5,171.11,171.27,1651.0,50.0,171.271987
COIN,2026-03-02 11:10:00+00:00,171.49,171.59,171.49,171.59,355.0,12.0,171.559582
COIN,2026-03-02 11:15:00+00:00,171.4,171.57,171.4,171.57,274.0,13.0,171.452577
COIN,2026-03-02 11:20:00+00:00,171.68,171.7,171.68,171.7,105.0,3.0,171.689899
COIN,2026-03-02 11:25:00+00:00,171.68,171.87,171.68,171.87,1513.0,42.0,171.759337
COIN,2026-03-02 11:30:00+00:00,171.77,171.77,171.57,171.57,1080.0,33.0,171.651705
COIN,2026-03-02 11:35:00+00:00,171.8,172.1,171.8,171.8,462.0,12.0,171.852279
COIN,2026-03-02 11:40:00+00:00,171.8,172.39,171.8,172.2,2442.0,87.0,172.129165
COIN,2026-03-02 11:45:00+00:00,172.75,172.85,172.51,172.85,879.0,38.0,172.757778
COIN,2026-03-02 11:50:00+00:00,172.55,172.8,172.19,172.19,932.0,47.0,172.601496
COIN,2026-03-02 11:55:00+00:00,172.73,172.8,172.73,172.8,1498.0,32.0,172.777958
COIN,2026-03-02 12:00:00+00:00,172.31,172.86,172.24,172.66,10449.0,218.0,172.608903
COIN,2026-03-02 12:05:00+00:00,172.25,172.62,172.24,172.5,675.0,28.0,172.453519
COIN,2026-03-02 12:10:00+00:00,172.38,172.38,172.25,172.25,1758.0,35.0,172.269063
COIN,2026-03-02 12:15:00+00:00,172.3,172.32,171.83,171.83,2743.0,101.0,172.067599
COIN,2026-03-02 12:20:00+00:00,171.81,171.91,171.7,171.7,720.0,38.0,171.8158
